a’bbõnd,ˈɑˀbːənd
kū’oḑõn,ˈkuːˀoɟən
kūoiba,ˈkuːoibɑ
kūok,ˈkuːok
kūolka,ˈkuːolkɑ
kutsõ,ˈkutsə
kūolka nanā,ˈkuːolkɑnɑnɑː
kūolka kõlā,ˈkuːolkɑkɯlɑː
kūolõm,ˈkuːoləm
kūolõ,ˈkuːolə
kūolta,ˈkuːoltɑ
kūoltõ,ˈkuːoltə
kūmi,ˈkuːmi
kūorald,ˈkuːorɑld
kūoral,ˈkuːorɑl
kūortiļ,ˈkuːortiʎ
kūoŗ,ˈkuːorʲ
kūoŗ,ˈkuːorʲ
kūož,ˈkuːoʒ
kūrna,ˈkuːrnɑ
kūzõ,ˈkuːzə
kū’zõ,ˈkuːˀzə
kūž,ˈkuːʒ
kūžkimdõ,ˈkuːʒkimdə
kūoŗštõ,ˈkuːorʲʃtə
kūžsadā,ˈkuːʒsɑdɑː
labā,ˈlɑbɑː
ladā,ˈlɑdɑː
la’ɡdõ,ˈlɑˀɡdə
la’ɡɡõ,ˈlɑˀɡːə
kūora,ˈkuːorɑ
la’ɡtõ,ˈlɑˀɡtə
laint,ˈlɑint
kūoršõn,ˈkuːorʃən
kūorbastõ,ˈkuːorbɑstə
kūžtuoistõn,ˈkuːʒtuoistən
la’ɡɡõd,ˈlɑˀɡːəd
lamātõks,ˈlɑmɑːtəks
lamp,ˈlɑmp
land,ˈlɑnd
laid,ˈlɑid
l,l
lakt,ˈlɑkt
lapsvȱidaji,ˈlɑpsvɤːidɑji
laskõ,ˈlɑskə
lastā,ˈlɑstɑː
laiɡā,ˈlɑiɡɑː
lāiska,ˈlɑːiskɑ
lāmbaz,ˈlɑːmbɑz
lä’b,ˈlæˀb
lakād,ˈlɑkɑːd
lä’bbõ,ˈlæˀbːə
lä’bǭ’rõn,ˈlæˀbɒːˀrən
läpš,ˈlæpʃ
lapsttarā,ˈlɑpsttɑrɑː
läul,ˈlæul
lask,ˈlɑsk
lǟlamstiz,ˈlæːlɑmstiz
laš,ˈlɑʃ
lä’bḑi,ˈlæˀbɟi
le’b,ˈleˀb
le’bbõ,ˈleˀbːə
leišmǭ,ˈleiʃmɒː
lāipa,ˈlɑːipɑ
lānɡa,ˈlɑːnɡɑ
lǟtšõz,ˈlæːt͡ʃəz
lešknai,ˈleʃknɑi
lejāvõtāmõd,ˈlejɑːvɯtɑːməd
lețmǭ,ˈlecmɒː
le’žɡõl,ˈleˀʒɡəl
lēbavīļa,ˈleːbɑviːʎɑ
lē’ḑkū,ˈleːˀɟkuː
lē’ḑ,ˈleːˀɟ
lēḑ,ˈleːɟ
lē’mi,ˈleːˀmi
lǟ’nd,ˈlæːˀnd
li’d,ˈliˀd
lieɡā,ˈlieɡɑː
lieppõ,ˈliepːə
liestā,ˈliestɑː
lem,ˈlem
likkõ,ˈlikːə
liktõ,ˈliktə
lilla,ˈlilːɑ
lešk,ˈleʃk
liepā,ˈliepɑː
linā,ˈlinɑː
lind,ˈlind
līdõ,ˈliːdə
lipšõ,ˈlipʃə
lieudõ,ˈlieudə
līedõɡ,ˈliːedəɡ
lī’edna’ɡɡõrz,ˈliːˀednɑˀɡːərz
līem,ˈliːem
lī’ekõni’m,ˈliːˀekəniˀm
līenõ,ˈliːenə
li’bḑi,ˈliˀbɟi
li’ɡɡõ,ˈliˀɡːə
lipīņtõ,ˈlipiːɲtə
lī’ebi,ˈliːˀebi
līti,ˈliːti
līst,ˈliːst
lī’edpū,ˈliːˀedpuː
lonkõ,ˈlonkə
lop,ˈlop
lopāndõks,ˈlopɑːndəks
līvli,ˈliːvli
loptõ,ˈloptə
loppõ,ˈlopːə
louɡõ,ˈlouɡə
loul,ˈloul
loutš,ˈlout͡ʃ
loulõ,ˈloulə
lovā,ˈlovɑː
lōda,ˈloːdɑ
loļ,ˈloʎ
lōlaji,ˈloːlɑji
lōlatõ,ˈloːlɑtə
līvõmǭ,ˈliːvəmɒː
lǭ’nõz,ˈlɒːˀnəz
lǭ’tšõz,ˈlɒːˀt͡ʃəz
louɡli,ˈlouɡli
lõks,ˈlɯks
lõuɡlõ,ˈlɯuɡlə
lǭja,ˈlɒːjɑ
lȭiɡa,ˈlɯːiɡɑ
lȭinaɡ,ˈlɯːinɑɡ
lȭinaɡstāiɡa,ˈlɯːinɑɡstɑːiɡɑ
lȭtstõ,ˈlɯːtstə
lubā,ˈlubɑː
lu’ɡdõbrǭntõz,ˈluˀɡdəbrɒːntəz
lǭņtš,ˈlɒːɲt͡ʃ
lu’ɡsõnā,ˈluˀɡsɯnɑː
lu’ɡ,ˈluˀɡ
lu’m,ˈluˀm
luškõz,ˈluʃkəz
lutārusk,ˈlutɑːrusk
lū,ˈluː
lūdõ,ˈluːdə
lȭinaɡizt,ˈlɯːinɑɡizt
lu’ɡɡõ,ˈluˀɡːə
lūoima,ˈluːoimɑ
lūk,ˈluːk
lu’mmi,ˈluˀmːi
lūomõz,ˈluːoməz
lū’ž,ˈluːˀʒ
lūod,ˈluːod
luoik,ˈluoik
m,m
lūom,ˈluːom
ma,ˈmɑ
lūotõ,ˈluːotə
ma’ɡ,ˈmɑˀɡ
ma’ɡḑi,ˈmɑˀɡɟi
ma’ɡḑõ,ˈmɑˀɡɟə
maiɡāz,ˈmɑiɡɑːz
maij,ˈmɑij
madāli,ˈmɑdɑːli
makstõd,ˈmɑkstəd
mantõl,ˈmɑntəl
ma’ņņõ,ˈmɑˀɲːə
mattõ,ˈmɑtːə
mašīn,ˈmɑʃiːn
maits,ˈmɑits
mä’ɡ,ˈmæˀɡ
maksõ,ˈmɑksə
maitsõ,ˈmɑitsə
märɡõ,ˈmærɡə
mä’ɡɡõrz,ˈmæˀɡːərz
mätāl,ˈmætɑːl
mǟ’dlõ,ˈmæːˀdlə
mänd,ˈmænd
madāltõ,ˈmɑdɑːltə
me’r,ˈmeˀr
me’rdõ,ˈmeˀrdə
maks,ˈmɑks
mēɡ,ˈmeːɡ
midāɡõd,ˈmidɑːɡəd
mänɡõ,ˈmænɡə
mie’r,ˈmieˀr
mie’rmīez,ˈmieˀrmiːez
mikš,ˈmikʃ
miljon,ˈmiljon
minā,ˈminɑː
minɡi,ˈminɡi
me’ž,ˈmeˀʒ
mis,ˈmis
mie’rnaiɡā,ˈmieˀrnɑiɡɑː
minɡizkõrd,ˈminɡizkɯrd
mitskimdõ,ˈmitskimdə
mīedõ,ˈmiːedə
mīdõ,ˈmiːdə
mīez,ˈmiːez
mits,ˈmits
mīɡõ,ˈmiːɡə
mīm,ˈmiːm
mīņa,ˈmiːɲɑ
moskov,ˈmoskov
mǭ’dõ,ˈmɒːˀdə
mǭdõ,ˈmɒːdə
mi’ɡriki,ˈmiˀɡriki
mǭɡõr,ˈmɒːɡər
minūt,ˈminuːt
mǭl,ˈmɒːl
mitš,ˈmit͡ʃ
mittõ,ˈmitːə
mǭŗa,ˈmɒːrʲɑ
mǭškõz,ˈmɒːʃkəz
moldov,ˈmoldov
mȯistli,ˈmɤistli
mǭnikā,ˈmɒːnikɑː
mȯ’jjõ,ˈmɤˀjːə
mȯ’lmõd,ˈmɤˀlməd
mõɡā,ˈmɯɡɑː
mõltsi,ˈmɯltsi
mõ’ŗžõ,ˈmɯˀrʲʒə
mǭ’zõ,ˈmɒːˀzə
mīrtõ,ˈmiːrtə
mõtsā,ˈmɯtsɑː
mǭļțõ,ˈmɒːʎcə
mȯistõ,ˈmɤistə
mõtūks,ˈmɯtuːks
mõtlõ,ˈmɯtlə
mȭka,ˈmɯːkɑ
mȭk,ˈmɯːk
mȭrda,ˈmɯːrdɑ
mudā,ˈmudɑː
mu’idlõ,ˈmuˀidlə
mõiti,ˈmɯiti
mõtkõz,ˈmɯtkəz
mulk,ˈmulk
munā,ˈmunɑː
murdõ,ˈmurdə
murīkšõ,ˈmuriːkʃə
mu’rri,ˈmuˀrːi
mu’rrõ,ˈmuˀrːə
mu’r,ˈmuˀr
mustā,ˈmustɑː
mu’rtõ,ˈmuˀrtə
mū,ˈmuː
mu’džõ,ˈmuˀdʒə
mūliņ,ˈmuːliɲ
mu’ŗŗõ,ˈmuˀrʲːə
muskant,ˈmuskɑnt
mūpõ,ˈmuːpə
mūtõ,ˈmuːtə
n,n
na’ɡɡõl,ˈnɑˀɡːəl
mūlda,ˈmuːldɑ
na’ɡɡõrz,ˈnɑˀɡːərz
na’ɡrõ,ˈnɑˀɡrə
muzīk,ˈmuziːk
nai,ˈnɑi
nanā,ˈnɑnɑː
nä,ˈnæ
nä’ɡ,ˈnæˀɡ
nä’ɡțõ,ˈnæˀɡcə
mustānum,ˈmustɑːnum
närā,ˈnærɑː
mūndakõrd,ˈmuːndɑkɯrd
nanāǭ’rõn,ˈnɑnɑːɒːˀrən
nǟlɡastõ,ˈnæːlɡɑstə
nä’ɡțõb,ˈnæˀɡcəb
ne,ˈne
närv,ˈnærv
ne’ije’n,ˈneˀijeˀn
na’ɡɡõr,ˈnɑˀɡːər
ne’iku,ˈneˀiku
ne’isiz,ˈneˀisiz
neitst,ˈneitst
neitški,ˈneit͡ʃki
neļļõz,ˈneʎːəz
nemē,ˈnemeː
nēḑi,ˈneːɟi
nēļa,ˈneːʎɑ
nǟr,ˈnæːr
nǟlɡa,ˈnæːlɡɑ
nēļatuoistõn,ˈneːʎɑtuoistən
nǟ,ˈnæː
nētša,ˈneːt͡ʃɑ
nǟ’dõ,ˈnæːˀdə
ni’ɡļiki,ˈniˀɡʎiki
ne’i,ˈneˀi
ni’msõnā,ˈniˀmsɯnɑː
ni,ˈni
niŗț,ˈnirʲc
ni’zzõz,ˈniˀzːəz
nīdõd,ˈniːdəd
nīel,ˈniːel
ni’mtõ,ˈniˀmtə
nīņ,ˈniːɲ
nīsk,ˈniːsk
ni’zzi,ˈniˀzːi
nēļasadāz,ˈneːʎɑsɑdɑːz
nīerõz,ˈniːerəz
nītõ,ˈniːtə
nīžõ,ˈniːʒə
no,ˈno
nodāl,ˈnodɑːl
nīskõ,ˈniːskə
nīelõ,ˈniːelə
norvēɡmǭ,ˈnorveːɡmɒː
nīlba,ˈniːlbɑ
novembõr,ˈnovembər
no’vvõ,ˈnoˀvːə
nǭ’ɡi,ˈnɒːˀɡi
nǭ’ɡõ,ˈnɒːˀɡə
nǭļa,ˈnɒːʎɑ
norvēɡij,ˈnorveːɡij
nõ’ddõr,ˈnɯˀdːər
nõ’ɡɡõl,ˈnɯˀɡːəl
nīnõ,ˈniːnə
nõtkõ,ˈnɯtkə
nõtkõm,ˈnɯtkəm
nõ’v,ˈnɯˀv
nǭ’võ,ˈnɒːˀvə
nȭŗka,ˈnɯːrʲkɑ
nīž,ˈniːʒ
num,ˈnum
nummõrz,ˈnumːərz
nõ’rrõ,ˈnɯˀrːə
nuŗm,ˈnurʲm
nustõ,ˈnustə
nuššõ,ˈnuʃːə
no’uɡõd,ˈnoˀuɡəd
nukkõr,ˈnukːər
nūoŗ,ˈnuːorʲ
nūoŗimi,ˈnuːorʲimi
nūoŗkū,ˈnuːorʲkuː
nȭrka,ˈnɯːrkɑ
nujā,ˈnujɑː
nūoŗpǭŗ,ˈnuːorʲpɒːrʲ
nūoļ,ˈnuːoʎ
nūškõ,ˈnuːʃkə
nūoŗmīez,ˈnuːorʲmiːez
nurīkšõ,ˈnuriːkʃə
ņäpā,ˈɲæpɑː
obāļi,ˈobɑːʎi
obāz,ˈobɑːz
o’bbõ,ˈoˀbːə
oksā,ˈoksɑː
okš,ˈokʃ
oktōbõr,ˈoktoːbər
o,o
opātõ,ˈopɑːtə
oppõ,ˈopːə
nūzõ,ˈnuːzə
ortoɡrāfij,ˈortoɡrɑːfij
nūrka,ˈnuːrkɑ
ouki,ˈouki
oppõr,ˈopːər
ouŗõ,ˈourʲə
outō,ˈoutoː
ouk,ˈouk
optõbrǭntõz,ˈoptəbrɒːntəz
outõ,ˈoutə
ovār,ˈovɑːr
ovāt,ˈovɑːt
ouɡust,ˈouɡust
o’unõz,ˈoˀunəz
ō,oː
ǭbõ,ˈɒːbə
o’vstõ,ˈoˀvstə
o’v,ˈoˀv
ǭ’ɡi,ˈɒːˀɡi
ǭ’biļ,ˈɒːˀbiʎ
ǭla,ˈɒːlɑ
o’vstõd,ˈoˀvstəd
ǭrali,ˈɒːrɑli
ǭļaz,ˈɒːʎɑz
ǭ’j,ˈɒːˀj
ǭz,ˈɒːz
ȯ,ɤ
ȱ,ɤː
õ,ɯ
õ’bbi,ˈɯˀbːi
õ’bdi,ˈɯˀbdi
õ’bdõ,ˈɯˀbdə
õiɡi,ˈɯiɡi
õiɡiz,ˈɯiɡiz
õ’ldzõ,ˈɯˀldzə
ōda,ˈoːdɑ
ǭ’dõrz,ˈɒːˀdərz
ȭ,ɯː
õvā,ˈɯvɑː
ȭ’dõɡ,ˈɯːˀdəɡ
ȭ’dõn,ˈɯːˀdən
ǭ’v,ˈɒːˀv
ȭlma,ˈɯːlmɑ
ȭrikšõ,ˈɯːrikʃə
p,p
pa,ˈpɑ
padā,ˈpɑdɑː
ȭn,ˈɯːn
paɡānõz,ˈpɑɡɑːnəz
pa’ɡɡõ,ˈpɑˀɡːə
pa’ɡɡõl,ˈpɑˀɡːəl
painõ,ˈpɑinə
ȭŗõ,ˈɯːrʲə
paistõ,ˈpɑistə
paizõ,ˈpɑizə
ȭ’dõɡizt,ˈɯːˀdəɡizt
pakānd,ˈpɑkɑːnd
palā,ˈpɑlɑː
palāndõks,ˈpɑlɑːndəks
paḑā,ˈpɑɟɑː
palɡ,ˈpɑlɡ
paldīņ,ˈpɑldiːɲ
pa’ɡ,ˈpɑˀɡ
pan,ˈpɑn
pallõ,ˈpɑlːə
pa’llõ,ˈpɑˀlːə
pankok,ˈpɑnkok
pappõl,ˈpɑpːəl
palkõ,ˈpɑlkə
parāndõ,ˈpɑrɑːndə
parāntõ,ˈpɑrɑːntə
pandõks,ˈpɑndəks
partitīv,ˈpɑrtitiːv
paŗīm,ˈpɑrʲiːm
paŗī,ˈpɑrʲiː
paskāndõ,ˈpɑskɑːndə
paŗīmstiz,ˈpɑrʲiːmstiz
papīer,ˈpɑpiːer
paņ,ˈpɑɲ
pat,ˈpɑt
patšõ,ˈpɑt͡ʃə
partikõl,ˈpɑrtikəl
pāika,ˈpɑːikɑ
pālka,ˈpɑːlkɑ
pānda,ˈpɑːndɑ
pārdaz,ˈpɑːrdɑz
pa’ŗ,ˈpɑˀrʲ
pāvest,ˈpɑːvest
päkā,ˈpækɑː
past,ˈpɑst
pä’zzõ,ˈpæˀzːə
pǟ,ˈpæː
pǟɡiņ,ˈpæːɡiɲ
pārmaz,ˈpɑːrmɑz
pǟɡiņlu’ɡ,ˈpæːɡiɲluˀɡ
pästõ,ˈpæstə
pärsōn,ˈpærsoːn
patli,ˈpɑtli
pǟrna,ˈpæːrnɑ
pǟva,ˈpæːvɑ
pațīkmǭ,ˈpɑciːkmɒː
pǟva,ˈpæːvɑ
pǟlõ,ˈpæːlə
pǟvalūojimi,ˈpæːvɑluːojimi
pǟvaļikki,ˈpæːvɑʎikːi
pālkali,ˈpɑːlkɑli
pǟvasidām,ˈpæːvɑsidɑːm
pǟrnov,ˈpæːrnov
peppiņd,ˈpepːiɲd
pǟvava’l,ˈpæːvɑvɑˀl
pešlinki,ˈpeʃlinki
pē’ɡõz,ˈpeːˀɡəz
pēɡal,ˈpeːɡɑl
pi’ddõ,ˈpiˀdːə
pi’ddõz,ˈpiˀdːəz
piḑīm,ˈpiɟiːm
pi’ds,ˈpiˀds
pe’rri,ˈpeˀrːi
pie’rrõ,ˈpieˀrːə
pierz,ˈpierz
peijõd,ˈpeijəd
pietk,ˈpietk
perīmīez,ˈperiːmiːez
piezā,ˈpiezɑː
piettõ,ˈpietːə
pi’mdiņtõ,ˈpiˀmdiɲtə
pi’mdõ,ˈpiˀmdə
pi’ņ,ˈpiˀɲ
pierā,ˈpierɑː
pietūks,ˈpietuːks
piškivīļa,ˈpiʃkiviːʎɑ
pipā,ˈpipɑː
pitkā,ˈpitkɑː
pitkittē’ḑ,ˈpitkitteːˀɟ
pitrõɡ,ˈpitrəɡ
piļļi,ˈpiʎːi
pi’v,ˈpiˀv
pivā,ˈpivɑː
pivākuodā,ˈpivɑːkuodɑː
piɡā,ˈpiɡɑː
pivāpǟva,ˈpivɑːpæːvɑ
pivāstõ,ˈpivɑːstə
pizā,ˈpizɑː
pīedrõb,ˈpiːedrəb
pīendrõks,ˈpiːendrəks
pīenti,ˈpiːenti
pīentõ,ˈpiːentə
pippõr,ˈpipːər
pitkit,ˈpitkit
pīk,ˈpiːk
pīer,ˈpiːer
pīki,ˈpiːki
pīkstõ,ˈpiːkstə
pī’ldzi,ˈpiːˀldzi
pīertõ,ˈpiːertə
pī’lɡõmǭŗa,ˈpiːˀlɡəmɒːrʲɑ
pī’lɡõz,ˈpiːˀlɡəz
pīlpaz,ˈpiːlpɑz
pīraɡ,ˈpiːrɑɡ
pīrɡal,ˈpiːrɡɑl
pīsk,ˈpiːsk
pī’lõ,ˈpiːˀlə
pīerõ,ˈpiːerə
plēšõd,ˈpleːʃəd
plakā,ˈplɑkɑː
plīț,ˈpliːc
plūm,ˈpluːm
plaɡā,ˈplɑɡɑː
poțā,ˈpocɑː
poukõ,ˈpoukə
pīɡõz,ˈpiːɡəz
portuɡal,ˈportuɡɑl
pīnda,ˈpiːndɑ
pǭļaz,ˈpɒːʎɑz
pīņõ,ˈpiːɲə
pōna,ˈpoːnɑ
pīla,ˈpiːlɑ
portuɡāl,ˈportuɡɑːl
pǭrkimdõ,ˈpɒːrkimdə
pǭțõr,ˈpɒːcər
plǭț,ˈplɒːc
pǭž,ˈpɒːʒ
pǭ’ɡõz,ˈpɒːˀɡəz
pȯis,ˈpɤis
pȯiški,ˈpɤiʃki
pȯlɡõ,ˈpɤlɡə
pȯļtõ,ˈpɤʎtə
pȯrt,ˈpɤrt
pȯ’j,ˈpɤˀj
põ’ddõrz,ˈpɯˀdːərz
põnkt,ˈpɯnkt
põnktõ,ˈpɯnktə
põrm,ˈpɯrm
põŗɡõ,ˈpɯrʲɡə
pȭda,ˈpɯːdɑ
põrmstõ,ˈpɯrmstə
pȭrna,ˈpɯːrnɑ
pȯimõ,ˈpɤimə
pȯ’ddõ,ˈpɤˀdːə
prantšmǭ,ˈprɑnt͡ʃmɒː
pȯsk,ˈpɤsk
pȭzõ,ˈpɯːzə
prepozītsijõ,ˈprepoziːtsijə
priš,ˈpriʃ
pȭrand,ˈpɯːrɑnd
prepozītsij,ˈprepoziːtsij
problēm,ˈprobleːm
projekt,ˈprojekt
prantsūzmǭ,ˈprɑntsuːzmɒː
põŗɡtõ,ˈpɯrʲɡtə
pu’ddõ,ˈpuˀdːə
purāz,ˈpurɑːz
purɡõ,ˈpurɡə
pu’rmõz,ˈpuˀrməz
purōv,ˈpuroːv
pu’rrõ,ˈpuˀrːə
puŗŗõkuo’iɡ,ˈpurʲːəkuoˀiɡ
printsip,ˈprintsip
puskāntõ,ˈpuskɑːntə
pubā,ˈpubɑː
pūdõ,ˈpuːdə
pū’dstõ,ˈpuːˀdstə
pūlka,ˈpuːlkɑ
pūmpar,ˈpuːmpɑr
pūnda,ˈpuːndɑ
pūoɡa,ˈpuːoɡɑ
pū’ois,ˈpuːˀois
pū’oj,ˈpuːˀoj
puțkõz,ˈpuckəz
pū’ojme’r,ˈpuːˀojmeˀr
pūol,ˈpuːol
pūola,ˈpuːolɑ
pusk,ˈpusk
pusk,ˈpusk
pū’ɡõ,ˈpuːˀɡə
pūɡõ,ˈpuːɡə
pū’dõz,ˈpuːˀdəz
pū,ˈpuː
pūoļmǭ,ˈpuːoʎmɒː
pū’ojtõ,ˈpuːˀojtə
pūrdaz,ˈpuːrdɑz
pū’tiļ,ˈpuːˀtiʎ
pūškõ,ˈpuːʃkə
pūolpǟva,ˈpuːolpæːvɑ
pūtõ,ˈpuːtə
r,r
pūoraz,ˈpuːorɑz
ra’bbõ,ˈrɑˀbːə
rabā,ˈrɑbɑː
pūŗitõ,ˈpuːrʲitə
ra’dļõ,ˈrɑˀdʎə
radio,ˈrɑdio
raiɡā,ˈrɑiɡɑː
raiskõ,ˈrɑiskə
pūrmaņ,ˈpuːrmɑɲ
radā,ˈrɑdɑː
pūtõks,ˈpuːtəks
ratstõ,ˈrɑtstə
rattõd,ˈrɑtːəd
razā,ˈrɑzɑː
ra’zzi,ˈrɑˀzːi
rānda,ˈrɑːndɑ
pūvīļa,ˈpuːviːʎɑ
ra’j,ˈrɑˀj
ratsõl,ˈrɑtsəl
rāndali,ˈrɑːndɑli
redīsõz,ˈrediːsəz
rakkõ,ˈrɑkːə
reizõ,ˈreizə
rejā,ˈrejɑː
raņɡ,ˈrɑɲɡ
re’bbi,ˈreˀbːi
repšõz,ˈrepʃəz
repțõ,ˈrepcə
restoran,ˈrestorɑn
rētš,ˈreːt͡ʃ
ri’ddõ,ˈriˀdːə
rie’ɡɡõz,ˈrieˀɡːəz
rǟnka,ˈræːnkɑ
ri’ɡɡi,ˈriˀɡːi
rikāz,ˈrikɑːz
rǟstõz,ˈræːstəz
riktiɡ,ˈriktiɡ
re’ḑḑõl,ˈreˀɟːəl
rink,ˈrink
riek,ˈriek
rinkõ,ˈrinkə
rip,ˈrip
rips,ˈrips
rištjemā,ˈriʃtjemɑː
rištõ,ˈriʃtə
rištusk,ˈriʃtusk
rīdļõ,ˈriːdʎə
rī’j,ˈriːˀj
rišt,ˈriʃt
rī’mõz,ˈriːˀməz
ri’ɡɡilēba,ˈriˀɡːileːbɑ
rīprok,ˈriːprok
rīst,ˈriːst
rīžõ,ˈriːʒə
rīnda,ˈriːndɑ
rīndõks,ˈriːndəks
rikkõ,ˈrikːə
ro’vkuodā,ˈroˀvkuodɑː
rīsõd,ˈriːsəd
ro’vz,ˈroˀvz
ro’vzt,ˈroˀvzt
rǭ’,ˈrɒːˀ
rīɡõ,ˈriːɡə
rīvõ,ˈriːvə
rǭɡõz,ˈrɒːɡəz
rǭ’ɡõz,ˈrɒːˀɡəz
ro’vloul,ˈroˀvloul
rǭstõ,ˈrɒːstə
rǭviņtõ,ˈrɒːviɲtə
rǭɡõd,ˈrɒːɡəd
rōda,ˈroːdɑ
rǭžki,ˈrɒːʒki
rõkāndiji,ˈrɯkɑːndiji
rõk,ˈrɯk
rõ’v,ˈrɯˀv
rõ’ut,ˈrɯˀut
rok,ˈrok
rȭmli,ˈrɯːmli
ru’isk,ˈruˀisk
rumāņmǭ,ˈrumɑːɲmɒː
rumēnij,ˈrumeːnij
rujā,ˈrujɑː
rǭibõ,ˈrɒːibə
rūm,ˈruːm
ruoikõ,ˈruoikə
rū’nõmǭ,ˈruːˀnəmɒː
rūod,ˈruːod
rõkāndõ,ˈrɯkɑːndə
rūoŗ,ˈruːorʲ
rōza,ˈroːzɑ
rū’nõ,ˈruːˀnə
rūotšmǭ,ˈruːot͡ʃmɒː
rūtlimi,ˈruːtlimi
rū’tš,ˈruːˀt͡ʃ
ŗ,rʲ
rȭm,ˈrɯːm
sa,ˈsɑ
ruzū,ˈruzuː
s,s
sa’bbõr,ˈsɑˀbːər
sadāz,ˈsɑdɑːz
sadā,ˈsɑdɑː
rūoiska,ˈruːoiskɑ
sa’ɡdit,ˈsɑˀɡdit
rūoɡõz,ˈruːoɡəz
sa’ɡdõ,ˈsɑˀɡdə
salā,ˈsɑlɑː
salāk,ˈsɑlɑːk
sa’d,ˈsɑˀd
salātõ,ˈsɑlɑːtə
salātõd,ˈsɑlɑːtəd
samā,ˈsɑmɑː
sa’lli,ˈsɑˀlːi
sa’m,ˈsɑˀm
sanɡdõ,ˈsɑnɡdə
sāina,ˈsɑːinɑ
sa’ddõ,ˈsɑˀdːə
sä,ˈsæ
särɡ,ˈsærɡ
salāj,ˈsɑlɑːj
sǟdlõ,ˈsæːdlə
sǟdõ,ˈsæːdə
sǟ’l,ˈsæːˀl
sǟ’ld,ˈsæːˀld
sǟ’lõ,ˈsæːˀlə
saksāmǭ,ˈsɑksɑːmɒː
sǟrna,ˈsæːrnɑ
se,ˈse
seiskimdõ,ˈseiskimdə
seiskimdõz,ˈseiskimdəz
seismi,ˈseismi
seis,ˈseis
salāndõ,ˈsɑlɑːndə
seissadā,ˈseissɑdɑː
seistuoistõn,ˈseistuoistən
seistuoistõnz,ˈseistuoistənz
seļtš,ˈseʎt͡ʃ
seissadāz,ˈseissɑdɑːz
septembõr,ˈseptembər
serbij,ˈserbij
serk,ˈserk
setkimdõ,ˈsetkimdə
sēji,ˈseːji
sēmḑa,ˈseːmɟɑ
sēņ,ˈseːɲ
set,ˈset
sibīrij,ˈsibiːrij
sidām,ˈsidɑːm
sēr,ˈseːr
sidāmli,ˈsidɑːmli
sē’ršõ,ˈseːˀrʃə
sidāmõl,ˈsidɑːməl
si’ddõ,ˈsiˀdːə
siḑīmsõnā,ˈsiɟiːmsɯnɑː
sieɡās,ˈsieɡɑːs
sieldõ,ˈsieldə
sie’ɡɡõ,ˈsieˀɡːə
siepā,ˈsiepɑː
siɡā,ˈsiɡɑː
si’ɡɡõ,ˈsiˀɡːə
si’ɡž,ˈsiˀɡʒ
siɡāvȯzā,ˈsiɡɑːvɤzɑː
si’ɡžkū,ˈsiˀɡʒkuː
siktār,ˈsiktɑːr
silāstõ,ˈsilɑːstə
si’ļ,ˈsiˀʎ
siļɡ,ˈsiʎɡ
si’ldzi,ˈsiˀldzi
siļɡõ,ˈsiʎɡə
seismõz,ˈseisməz
sinā,ˈsinɑː
sintõ,ˈsintə
si’ņņi,ˈsiˀɲːi
sipā,ˈsipɑː
sindõ,ˈsində
sipriki,ˈsipriki
sipšlõ,ˈsipʃlə
siļk,ˈsiʎk
siskõ,ˈsiskə
sitkõz,ˈsitkəz
sitā,ˈsitɑː
sittõ,ˈsitːə
si’z,ˈsiˀz
si’zzõl,ˈsiˀzːəl
sizāl,ˈsizɑːl
si’ž,ˈsiˀʒ
sizāld,ˈsizɑːld
sižāli,ˈsiʒɑːli
sižālikki,ˈsiʒɑːlikːi
sī,ˈsiː
sī’ḑšt,ˈsiːˀɟʃt
sī’ḑõ,ˈsiːˀɟə
sīedõ,ˈsiːedə
sīekõrd,ˈsiːekɯrd
sī’ḑš,ˈsiːˀɟʃ
sīemɡõz,ˈsiːemɡəz
sīemi,ˈsiːemi
sīemnāiɡa,ˈsiːemnɑːiɡɑ
sīemt,ˈsiːemt
sīestõ,ˈsiːestə
sīepierāst,ˈsiːepierɑːst
sīetõ,ˈsiːetə
sīend,ˈsiːend
seļļi,ˈseʎːi
sīɡõz,ˈsiːɡəz
sīezõr,ˈsiːezər
sīkrõɡ,ˈsiːkrəɡ
sīlda,ˈsiːldɑ
sīnõ,ˈsiːnə
sīņõ,ˈsiːɲə
sīlma,ˈsiːlmɑ
sīņõtǟnõ,ˈsiːɲətæːnə
sīpõllōka,ˈsiːpəlloːkɑ
skrõuv,ˈskrɯuv
skrīvõr,ˈskriːvər
sīpõl,ˈsiːpəl
skūol,ˈskuːol
skrūodõr,ˈskruːodər
sīli,ˈsiːli
soɡā,ˈsoɡɑː
smaɡā,ˈsmɑɡɑː
slikțõ,ˈslikcə
so’uɡdõ,ˈsoˀuɡdə
slovēnij,ˈsloveːnij
smēḑ,ˈsmeːɟ
so’v,ˈsoˀv
sovā,ˈsovɑː
so’vtõ,ˈsoˀvtə
sǭdõ,ˈsɒːdə
sǭmaltõ,ˈsɒːmɑltə
sǭņ,ˈsɒːɲ
sǭja,ˈsɒːjɑ
sǭmal,ˈsɒːmɑl
sōna,ˈsoːnɑ
sǭpkõz,ˈsɒːpkəz
sǭra,ˈsɒːrɑ
sǭrmǭ,ˈsɒːrmɒː
sõbrā,ˈsɯbrɑː
sõ’ɡɡõl,ˈsɯˀɡːəl
sǭtõks,ˈsɒːtəks
